time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446750000	18.1738	6.28711	4.8069	0.90172	0.375562	radar	0.939577	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2956	6.53476	4.85935	0.943439	0.397847	lidar	1.40535	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4316	6.73837	4.83972	0.967141	0.402414	radar	0.351205	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5706	6.88812	4.76964	0.972079	0.387586	lidar	1.04767	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7206	7.09677	4.86353	0.98682	0.380966	radar	0.756271	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.908	7.25301	4.84523	0.978329	0.354508	lidar	3.42224	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0019	7.43966	4.68675	1.00708	0.368463	radar	3.6258	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0946	7.71096	4.7695	1.05267	0.394801	lidar	2.01326	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2167	7.91584	4.78972	1.06876	0.390432	radar	0.233654	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2951	8.13739	4.7769	1.10062	0.402083	lidar	1.432	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3947	8.3476	4.8079	1.11926	0.398606	radar	2.17048	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4845	8.49838	4.68823	1.12708	0.386484	lidar	3.10247	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5786	8.70035	4.6416	1.14664	0.38779	radar	0.431253	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7319	8.888	4.64418	1.14255	0.365712	lidar	4.01077	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8107	9.10048	4.58144	1.16854	0.375398	radar	0.87622	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9361	9.33971	4.65497	1.18175	0.370711	lidar	3.33347	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9902	9.54487	4.5232	1.21331	0.387367	radar	2.34489	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0745	9.79541	4.59407	1.23822	0.393082	lidar	1.09507	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1372	10.0459	4.68306	1.26528	0.398346	radar	7.40744	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1861	10.3288	4.77745	1.30277	0.41542	lidar	1.2718	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2101	10.5499	4.66061	1.33952	0.435364	radar	3.17526	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2664	10.8366	4.7723	1.37001	0.444245	lidar	2.32215	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2964	11.0935	4.81592	1.40038	0.45157	radar	5.00555	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3298	11.3372	4.82578	1.42542	0.453912	lidar	0.0192589	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2918	11.5608	4.62599	1.48221	0.496852	radar	11.6746	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3569	11.8128	4.67917	1.49395	0.48511	lidar	4.3525	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.378	12.051	4.77103	1.5092	0.469994	radar	3.33326	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3625	12.3521	4.89102	1.54929	0.485949	lidar	1.43522	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3231	12.5745	4.74052	1.59611	0.516287	radar	3.99622	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3442	12.8202	4.7595	1.61242	0.507698	lidar	1.51942	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.336	13.0417	4.70423	1.63729	0.509384	radar	2.05132	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3009	13.2555	4.664	1.6669	0.512935	lidar	0.995641	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
